"DTIME","BEVALUE"
"2019-01-09 08:23:15",121,5
"2019-01-09 08:24:15",121,4
"2019-01-09 08:25:15",121,3
"2019-01-09 08:26:15",120,9
"2019-01-09 08:27:15",120,5
"2019-01-09 08:28:15",121
"2019-01-09 08:29:15",119,5
"2019-01-09 08:30:15",120,1
"2019-01-09 08:31:15",118,5
"2019-01-09 08:32:15",120,1
"2019-01-09 08:33:15",119,6
"2019-01-09 08:34:15",120,1
"2019-01-09 08:35:15",118
"2019-01-09 08:36:15",119,1
"2019-01-09 08:37:15",118,5
"2019-01-09 08:38:15",118,5
"2019-01-09 08:39:15",117,7
"2019-01-09 08:40:15",118,3
"2019-01-09 08:41:15",118,1
"2019-01-09 08:42:15",118,3
"2019-01-09 08:43:15",118,2
"2019-01-09 08:44:15",118,1
"2019-01-09 08:45:15",118
"2019-01-09 08:46:15",118
"2019-01-09 08:47:15",117,9
"2019-01-09 08:48:15",117,8
"2019-01-09 08:49:15",117,8
"2019-01-09 08:50:15",117,7
"2019-01-09 08:51:15",117,6
"2019-01-09 08:52:15",117,5
"2019-01-09 08:53:15",117,4
"2019-01-09 08:54:15",117,4
"2019-01-09 08:55:15",117,3
"2019-01-09 08:56:15",117,3
"2019-01-09 08:57:15",117,2
"2019-01-09 08:58:15",116,1
"2019-01-09 08:59:15",114,9
"2019-01-09 09:00:15",116,3
"2019-01-09 09:01:15",115,9
"2019-01-09 09:02:15",116,5
"2019-01-09 09:03:15",115,2
"2019-01-09 09:04:15",116,3
"2019-01-09 09:05:15",112,5
"2019-01-09 09:06:15",114
"2019-01-09 09:07:14",115,4
"2019-01-09 09:08:15",115,1
"2019-01-09 09:09:15",111,8
"2019-01-09 09:10:15",113,4
"2019-01-09 09:11:15",114,9
"2019-01-09 09:12:15",114,9
"2019-01-09 09:13:15",115,1
"2019-01-09 09:14:15",115
"2019-01-09 09:15:15",115
"2019-01-09 09:16:15",114,9
"2019-01-09 09:17:15",114,8
"2019-01-09 09:18:15",114,7
"2019-01-09 09:19:15",114,7
"2019-01-09 09:20:15",114,7
"2019-01-09 09:21:15",114,7
"2019-01-09 09:22:15",114,6
"2019-01-09 09:23:15",114,6
"2019-01-09 09:24:15",114,5
"2019-01-09 09:25:15",114,4
"2019-01-09 09:26:15",114,4
"2019-01-09 09:27:15",114,3
"2019-01-09 09:28:15",114,2
"2019-01-09 09:29:15",114,2
"2019-01-09 09:30:15",114,1
"2019-01-09 09:31:15",113,5
"2019-01-09 09:32:15",113,3
"2019-01-09 09:33:15",114
"2019-01-09 09:34:15",111,8
"2019-01-09 09:35:15",110,3
"2019-01-09 09:36:14",113,9
"2019-01-09 09:37:15",113,4
"2019-01-09 09:38:15",112,5
"2019-01-09 09:39:15",110,9
"2019-01-09 09:40:15",111,4
"2019-01-09 09:41:15",112,7
"2019-01-09 09:42:15",112
"2019-01-09 09:43:15",111,3
"2019-01-09 09:44:15",111
"2019-01-09 09:45:15",111,6
"2019-01-09 09:46:15",111,6
"2019-01-09 09:47:15",111,7
"2019-01-09 09:48:15",111,6
"2019-01-09 09:49:15",111,5
"2019-01-09 09:50:15",111,4
"2019-01-09 09:51:15",111,4
"2019-01-09 09:52:15",111,3
"2019-01-09 09:53:15",111,2
"2019-01-09 09:54:15",111,1
"2019-01-09 09:55:15",111,1
"2019-01-09 09:56:15",111
"2019-01-09 09:57:15",110,9
"2019-01-09 09:58:15",110,9
"2019-01-09 09:59:15",110,8
"2019-01-09 10:00:15",110,7
"2019-01-09 10:01:15",110,7
"2019-01-09 10:02:15",110,6
"2019-01-09 10:03:15",110,5
"2019-01-09 10:04:15",110,4
"2019-01-09 10:05:15",110,4
"2019-01-09 10:06:15",110,3
"2019-01-09 10:07:15",110,3
"2019-01-09 10:08:15",110,2
"2019-01-09 10:09:15",110,1
"2019-01-09 10:10:15",110,1
"2019-01-09 10:11:15",110
"2019-01-09 10:12:15",110
"2019-01-09 10:13:15",109,9
"2019-01-09 10:14:15",109,8
"2019-01-09 10:15:15",109,8
"2019-01-09 10:16:15",109,8
"2019-01-09 10:17:15",109,7
"2019-01-09 10:18:15",109,7
"2019-01-09 10:19:15",109,6
"2019-01-09 10:20:15",109,5
"2019-01-09 10:21:15",109,5
"2019-01-09 10:22:15",109,4
"2019-01-09 10:23:15",109,3
"2019-01-09 10:24:15",109,3
"2019-01-09 10:25:15",109,2
"2019-01-09 10:26:15",109,2
"2019-01-09 10:27:15",109,2
"2019-01-09 10:28:15",109,1
"2019-01-09 10:29:15",109,1
"2019-01-09 10:30:15",109
"2019-01-09 10:31:15",108,9
"2019-01-09 10:32:15",108,8
"2019-01-09 10:33:15",108,7
"2019-01-09 10:34:15",108,7
"2019-01-09 10:35:15",108,7
"2019-01-09 10:36:15",108,6
"2019-01-09 10:37:15",108,6
"2019-01-09 10:38:15",108,5
"2019-01-09 10:39:15",108,5
"2019-01-09 10:40:15",108,4
"2019-01-09 10:41:15",108,3
"2019-01-09 10:42:15",108,3
"2019-01-09 10:43:15",108,2
"2019-01-09 10:44:15",108,2
"2019-01-09 10:45:15",108,2
"2019-01-09 10:46:15",108,2
"2019-01-09 10:47:15",108,1
"2019-01-09 10:48:15",108
"2019-01-09 10:49:15",108
"2019-01-09 10:50:15",107,9
"2019-01-09 10:51:15",107,9
"2019-01-09 10:52:15",107,8
"2019-01-09 10:53:15",107,7
"2019-01-09 10:54:15",107,7
"2019-01-09 10:55:15",107,6
"2019-01-09 10:56:15",107,6
"2019-01-09 10:57:15",107,6
"2019-01-09 10:58:15",107,5
"2019-01-09 10:59:15",107,5
"2019-01-09 11:00:15",107,4
"2019-01-09 11:01:15",107,4
"2019-01-09 11:02:15",107,4
"2019-01-09 11:03:15",107,3
"2019-01-09 11:04:15",107,3
"2019-01-09 11:05:15",107,2
"2019-01-09 11:06:15",107,2
"2019-01-09 11:07:15",107,1
"2019-01-09 11:08:15",107,1
"2019-01-09 11:09:15",107,1
"2019-01-09 11:10:15",107,1
"2019-01-09 11:11:15",107
"2019-01-09 11:12:15",107
"2019-01-09 11:13:15",106,9
"2019-01-09 11:14:15",106,8
"2019-01-09 11:15:15",106,8
"2019-01-09 11:16:15",106,7
"2019-01-09 11:17:15",106,7
"2019-01-09 11:18:15",106,6
"2019-01-09 11:19:15",106,5
"2019-01-09 11:20:15",106,5
"2019-01-09 11:21:15",106,5
"2019-01-09 11:22:15",106,5
"2019-01-09 11:23:15",106,4
"2019-01-09 11:24:15",106,4
"2019-01-09 11:25:15",106,3
"2019-01-09 11:26:15",106,2
"2019-01-09 11:27:15",106,2
"2019-01-09 11:28:15",106,1
"2019-01-09 11:29:15",106,1
"2019-01-09 11:30:15",106
"2019-01-09 11:31:15",106
"2019-01-09 11:32:15",106
"2019-01-09 11:33:15",105,9
"2019-01-09 11:34:15",105,8
"2019-01-09 11:35:15",105,7
"2019-01-09 11:36:15",105,7
"2019-01-09 11:37:15",105,6
"2019-01-09 11:38:15",105,5
"2019-01-09 11:39:15",105,5
"2019-01-09 11:40:15",105,4
"2019-01-09 11:41:15",105,4
"2019-01-09 11:42:15",105,4
"2019-01-09 11:43:15",105,3
"2019-01-09 11:44:15",105,2
"2019-01-09 11:45:15",105,2
"2019-01-09 11:46:15",105,1
"2019-01-09 11:47:15",105
"2019-01-09 11:48:15",105
"2019-01-09 11:49:15",104,9
"2019-01-09 11:50:15",104,9
"2019-01-09 11:51:15",104,9
"2019-01-09 11:52:15",104,8
"2019-01-09 11:53:15",104,8
"2019-01-09 11:54:15",104,7
"2019-01-09 11:55:15",104,7
"2019-01-09 11:56:15",104,6
"2019-01-09 11:57:15",104,6
"2019-01-09 11:58:15",104,5
"2019-01-09 11:59:15",104,5
"2019-01-09 12:00:15",104,4
"2019-01-09 12:01:15",104,4
"2019-01-09 12:02:15",104,3
"2019-01-09 12:03:15",104,3
"2019-01-09 12:04:15",104,3
"2019-01-09 12:05:15",104,2
"2019-01-09 12:06:15",104,2
"2019-01-09 12:07:15",104,1
"2019-01-09 12:08:15",104,1
"2019-01-09 12:09:15",104
"2019-01-09 12:10:15",104
"2019-01-09 12:11:15",103,9
"2019-01-09 12:12:15",103,8
"2019-01-09 12:13:15",103,8
"2019-01-09 12:14:15",103,8
"2019-01-09 12:15:15",103,7
"2019-01-09 12:16:15",103,7
"2019-01-09 12:17:15",103,6
"2019-01-09 12:18:15",103,5
"2019-01-09 12:19:15",103,5
"2019-01-09 12:20:15",103,4
"2019-01-09 12:21:15",103,3
"2019-01-09 12:22:15",103,3
"2019-01-09 12:23:15",103,3
"2019-01-09 12:24:15",103,2
"2019-01-09 12:25:15",103,2
"2019-01-09 12:26:15",103,1
"2019-01-09 12:27:15",103
"2019-01-09 12:28:15",103
"2019-01-09 12:29:15",102,9
"2019-01-09 12:30:15",102,9
"2019-01-09 12:31:15",102,8
"2019-01-09 12:32:15",102,7
"2019-01-09 12:33:15",102,7
"2019-01-09 12:34:15",102,7
"2019-01-09 12:35:15",102,6
"2019-01-09 12:36:15",102,6
"2019-01-09 12:37:15",102,5
"2019-01-09 12:38:15",102,5
"2019-01-09 12:39:15",102,4
"2019-01-09 12:40:15",102,4
"2019-01-09 12:41:15",102,3
"2019-01-09 12:42:15",102,3
"2019-01-09 12:43:15",102,2
"2019-01-09 12:44:15",102,2
"2019-01-09 12:45:15",102,2
"2019-01-09 12:46:15",102,2
"2019-01-09 12:47:15",102,1
"2019-01-09 12:48:15",102,1
"2019-01-09 12:49:15",102
"2019-01-09 12:50:15",101,9
"2019-01-09 12:51:15",101,9
"2019-01-09 12:52:15",101,8
"2019-01-09 12:53:15",101,7
"2019-01-09 12:54:15",101,7
"2019-01-09 12:55:15",101,6
"2019-01-09 12:56:15",101,6
"2019-01-09 12:57:15",101,6
"2019-01-09 12:58:15",101,5
"2019-01-09 12:59:15",101,5
"2019-01-09 13:00:15",101,4
"2019-01-09 13:01:15",101,4
"2019-01-09 13:02:15",101,4
"2019-01-09 13:03:15",101,3
"2019-01-09 13:04:15",101,2
"2019-01-09 13:05:15",101,2
"2019-01-09 13:06:15",101,1
"2019-01-09 13:07:15",101,1
"2019-01-09 13:08:15",101,1
"2019-01-09 13:09:15",101,1
"2019-01-09 13:10:15",101
"2019-01-09 13:11:15",101
"2019-01-09 13:12:15",101
"2019-01-09 13:13:15",100,9
"2019-01-09 13:14:15",100,9
"2019-01-09 13:15:15",100,9
"2019-01-09 13:16:15",100,4
"2019-01-09 13:17:15",100,4
"2019-01-09 13:18:15",100,2
"2019-01-09 13:19:15",100,2
"2019-01-09 13:20:15",100,1
"2019-01-09 13:21:15",100,1
"2019-01-09 13:22:15",100,1
"2019-01-09 13:23:15",100
"2019-01-09 13:24:15",99,9
"2019-01-09 13:25:15",100
"2019-01-09 13:26:15",100,2
"2019-01-09 13:27:15",99,7
"2019-01-09 13:28:14",99,7
"2019-01-09 13:29:15",99,4
"2019-01-09 13:30:15",99,4
"2019-01-09 13:31:15",99,4
"2019-01-09 13:32:15",99,4
"2019-01-09 13:33:15",99,3
"2019-01-09 13:34:15",99,2
"2019-01-09 13:35:15",99,2
"2019-01-09 13:36:15",99,2
"2019-01-09 13:37:15",99,1
"2019-01-09 13:38:15",99
"2019-01-09 13:39:15",98,9
"2019-01-09 13:40:15",98,7
"2019-01-09 13:41:15",98,9
"2019-01-09 13:42:15",98,4
"2019-01-09 13:43:15",98,2
"2019-01-09 13:44:15",98,8
"2019-01-09 13:45:15",98,8
"2019-01-09 13:46:15",98,8
"2019-01-11 06:48:26",96
"2019-01-11 06:49:27",95,9
"2019-01-11 06:50:27",95,8
"2019-01-11 06:51:27",95,8
"2019-01-11 06:52:27",95,7
"2019-01-11 06:53:27",95,7
"2019-01-11 06:54:27",95,6
"2019-01-11 06:55:27",95
"2019-01-11 06:56:27",95,2
"2019-01-11 06:57:27",95,1
"2019-01-11 06:58:27",95,3
"2019-01-11 06:59:27",95,4
"2019-01-11 07:00:27",95,5
"2019-01-11 07:01:27",95,6
"2019-01-11 07:02:27",95,6
"2019-01-11 07:03:27",95,7
"2019-01-11 07:04:27",95,7
"2019-01-11 07:05:27",95,9
"2019-01-11 07:06:27",96
"2019-01-11 07:07:27",96,1
"2019-01-11 07:08:27",96,2
"2019-01-11 07:09:27",96,2
"2019-01-11 07:10:27",96,2
"2019-01-11 07:11:27",96,2
"2019-01-11 07:12:27",96,3
"2019-01-11 07:13:27",96,3
"2019-01-11 07:14:27",96,3
"2019-01-11 07:15:27",96,3
"2019-01-11 07:16:27",96,3
"2019-01-11 07:17:27",96,3
"2019-01-11 07:18:27",96,3
"2019-01-11 07:19:27",96,3
"2019-01-11 07:20:27",96,3
"2019-01-11 07:21:27",96,3
"2019-01-11 07:22:27",96,3
"2019-01-11 07:23:27",96,3
"2019-01-11 07:24:27",96,3
"2019-01-11 07:25:27",96,3
"2019-01-11 07:26:27",96,2
"2019-01-11 07:27:27",96,2
"2019-01-11 07:28:27",96,2
"2019-01-11 07:29:27",96,2
"2019-01-11 07:30:27",96,2
"2019-01-11 07:31:27",96,1
"2019-01-11 07:32:27",96
"2019-01-11 07:33:27",96,1
"2019-01-11 07:34:27",96
"2019-01-11 07:35:27",96
"2019-01-11 07:36:27",96
"2019-01-11 07:37:27",96
"2019-01-11 07:38:27",94,7
"2019-01-11 07:39:27",95,4
"2019-01-11 07:40:27",93,7
"2019-01-11 07:41:27",93,7
"2019-01-11 07:42:27",94,8
"2019-01-11 07:43:27",95,1
"2019-01-11 07:44:27",95,8
"2019-01-11 07:45:27",121,1
"2019-01-11 07:46:27",150,2
"2019-01-11 07:47:27",179,5
"2019-01-11 07:48:27",209,1
"2019-01-11 07:49:27",237,8
"2019-01-11 07:50:27",267,2
"2019-01-11 07:51:27",273,2
"2019-01-11 07:52:27",273
"2019-01-11 07:53:27",272,7
"2019-01-11 07:54:27",272,5
"2019-01-11 07:55:27",272,6
"2019-01-11 07:56:27",273
"2019-01-11 07:57:27",271,7
"2019-01-11 07:58:27",272,8
"2019-01-11 07:59:27",273,2
"2019-01-11 08:00:27",272,7
"2019-01-11 08:01:27",272,7
"2019-01-11 08:02:27",271,4
"2019-01-11 08:03:27",271
"2019-01-11 08:04:27",271,2
"2019-01-11 08:05:27",271,4
"2019-01-11 08:06:27",271,8
"2019-01-11 08:07:27",270,7
"2019-01-11 08:08:27",270,6
"2019-01-11 08:09:27",270,5
"2019-01-11 08:10:27",270,5
"2019-01-11 08:11:27",270,5
"2019-01-11 08:12:27",270,4
"2019-01-11 08:13:27",270,3
"2019-01-11 08:14:27",270,3
"2019-01-11 08:15:27",270,2
"2019-01-11 08:16:27",270,2
"2019-01-11 08:17:27",270,1
"2019-01-11 08:18:27",270,1
"2019-01-11 08:19:27",270
"2019-01-11 08:20:27",270
"2019-01-11 08:21:27",270
"2019-01-11 08:22:27",269,9
"2019-01-11 08:23:27",269,9
"2019-01-11 08:24:27",269,9
"2019-01-11 08:25:26",269,9
"2019-01-11 08:26:27",269,8
"2019-01-11 08:27:27",269,4
"2019-01-11 08:28:27",269,3
"2019-01-11 08:29:27",268,3
"2019-01-11 08:30:27",269,4
"2019-01-11 08:31:27",268,5
"2019-01-11 08:32:27",268,8
"2019-01-11 08:33:27",267,8
"2019-01-11 08:34:27",268,9
"2019-01-11 08:35:27",268,9
"2019-01-11 08:36:27",268,4
"2019-01-11 08:37:27",269,6
"2019-01-11 08:38:27",266,6
"2019-01-11 08:39:27",267,1
"2019-01-11 08:40:27",266,5
"2019-01-11 08:41:27",266,6
"2019-01-11 08:42:27",266,3
"2019-01-11 08:43:27",266,9
"2019-01-11 08:44:27",266,3
"2019-01-11 08:45:27",266,5
"2019-01-11 08:46:27",266,4
"2019-01-11 08:47:27",266,4
"2019-01-11 08:48:27",266,5
"2019-01-11 08:49:27",266,3
"2019-01-11 08:50:27",266,2
"2019-01-11 08:51:27",266,2
"2019-01-11 08:52:27",266,2
"2019-01-11 08:53:27",266,1
"2019-01-11 08:54:27",266
"2019-01-11 08:55:27",266
"2019-01-11 08:56:27",265,9
"2019-01-11 08:57:27",265,9
"2019-01-11 08:58:27",265,8
"2019-01-11 08:59:27",265,7
"2019-01-11 09:00:27",265,7
"2019-01-11 09:01:27",265,6
"2019-01-11 09:02:27",265,6
"2019-01-11 09:03:27",265,6
"2019-01-11 09:04:27",265,5
"2019-01-11 09:05:27",265,4
"2019-01-11 09:06:27",265,4
"2019-01-11 09:07:27",265,3
"2019-01-11 09:08:27",265,3
"2019-01-11 09:09:27",265,2
"2019-01-11 09:10:27",265,1
"2019-01-11 09:11:27",265,1
"2019-01-11 09:12:27",265,1
"2019-01-11 09:13:27",265,1
"2019-01-11 09:14:27",265
"2019-01-11 09:15:27",265
"2019-01-11 09:16:27",264,9
"2019-01-11 09:17:27",264,9
"2019-01-11 09:18:27",264,8
"2019-01-11 09:19:27",264,8
"2019-01-11 09:20:27",264,7
"2019-01-11 09:21:27",264,6
"2019-01-11 09:22:27",264,6
"2019-01-11 09:23:27",264,5
"2019-01-11 09:24:27",264,5
"2019-01-11 09:25:27",264,5
"2019-01-11 09:26:27",264,5
"2019-01-11 09:27:27",264,4
"2019-01-11 09:28:27",264,4
"2019-01-11 09:29:27",264,3
"2019-01-11 09:30:27",264,2
"2019-01-11 09:31:27",264,2
"2019-01-11 09:32:27",264,1
"2019-01-11 09:33:27",264,1
"2019-01-11 09:34:27",264
"2019-01-11 09:35:27",264
"2019-01-11 09:36:27",264
"2019-01-11 09:37:27",263,9
"2019-01-11 09:38:27",263,9
"2019-01-11 09:39:27",263,8
"2019-01-11 09:40:27",263,8
"2019-01-11 09:41:27",263,7
"2019-01-11 09:42:27",263,7
"2019-01-11 09:43:27",263,6
"2019-01-11 09:44:27",263,6
"2019-01-11 09:45:27",263,6
"2019-01-11 09:46:27",263,5
"2019-01-11 09:47:27",263,5
"2019-01-11 09:48:27",263,5
"2019-01-11 09:49:27",263,4
"2019-01-11 09:50:27",263,4
"2019-01-11 09:51:27",263,3
"2019-01-11 09:52:27",263,3
"2019-01-11 09:53:27",263,2
"2019-01-11 09:54:27",263,2
"2019-01-11 09:55:27",263,1
"2019-01-11 09:56:27",263,1
"2019-01-11 09:57:27",263
"2019-01-11 09:58:27",263
"2019-01-11 09:59:27",262,9
"2019-01-11 10:00:27",262,9
"2019-01-11 10:01:27",262,9
"2019-01-11 10:02:27",262,9
"2019-01-11 10:03:27",262,8
"2019-01-11 10:04:27",262,8
"2019-01-11 10:05:27",262,7
"2019-01-11 10:06:27",262,6
"2019-01-11 10:07:27",262,6
"2019-01-11 10:08:27",262,5
"2019-01-11 10:09:27",262,5
"2019-01-11 10:10:27",262,4
"2019-01-11 10:11:27",262,4
"2019-01-11 10:12:27",262,4
"2019-01-11 10:13:27",262,4
"2019-01-11 10:14:27",262,3
"2019-01-11 10:15:27",262,3
"2019-01-11 10:16:27",262,2
"2019-01-11 10:17:27",262,2
"2019-01-11 10:18:27",262,1
"2019-01-11 10:19:27",262
"2019-01-11 10:20:27",262
"2019-01-11 10:21:27",261,9
"2019-01-11 10:22:27",261,9
"2019-01-11 10:23:27",261,7
"2019-01-11 10:24:27",261,7
"2019-01-11 10:25:27",261,6
"2019-01-11 10:26:27",261,6
"2019-01-11 10:27:27",261,5
"2019-01-11 10:28:27",261,5
"2019-01-11 10:29:27",261,4
"2019-01-11 10:30:27",261,4
"2019-01-11 10:31:27",261,4
"2019-01-11 10:32:27",261,3
"2019-01-11 10:33:27",261,3
"2019-01-11 10:34:27",261,3
"2019-01-11 10:35:27",261,2
"2019-01-11 10:36:27",261,2
"2019-01-11 10:37:27",261,1
"2019-01-11 10:38:27",261,1
"2019-01-11 10:39:27",261
"2019-01-11 10:40:27",261
"2019-01-11 10:41:27",260,9
"2019-01-11 10:42:27",260,9
"2019-01-11 10:43:27",260,8
"2019-01-11 10:44:27",260,8
"2019-01-11 10:45:27",260,7
"2019-01-11 10:46:27",260,7
"2019-01-11 10:47:27",260,7
"2019-01-11 10:48:27",260,7
"2019-01-11 10:49:27",260,6
"2019-01-11 10:50:27",260,6
"2019-01-11 10:51:27",260,5
"2019-01-11 10:52:27",260,5
"2019-01-11 10:53:27",260,4
"2019-01-11 10:54:27",260,3
"2019-01-11 10:55:27",260,3
"2019-01-11 10:56:27",260,2
"2019-01-11 10:57:27",260,2
"2019-01-11 10:58:27",260,2
"2019-01-11 10:59:27",260,2
"2019-01-11 11:00:27",260,2
"2019-01-11 11:01:27",260,1
"2019-01-11 11:02:27",260,1
"2019-01-11 11:03:27",260
"2019-01-11 11:04:27",260
"2019-01-11 11:05:27",259,9
"2019-01-11 11:06:27",259,9
"2019-01-11 11:07:27",259,8
"2019-01-11 11:08:27",259,8
"2019-01-11 11:09:27",259,7
"2019-01-11 11:10:27",259,7
"2019-01-11 11:11:27",259,7
"2019-01-11 11:12:27",259,6
"2019-01-11 11:13:27",259,6
"2019-01-11 11:14:27",259,6
"2019-01-11 11:15:27",259,5
"2019-01-11 11:16:27",259,5
"2019-01-11 11:17:27",259,4
"2019-01-11 11:18:27",259,4
"2019-01-11 11:19:27",259,3
"2019-01-11 11:20:27",259,3
"2019-01-11 11:21:27",259,2
"2019-01-11 11:22:27",259,2
"2019-01-11 11:23:27",259,1
"2019-01-11 11:24:27",259,1
"2019-01-11 11:25:27",259,1
"2019-01-11 11:26:26",259,1
"2019-01-11 11:27:27",259
"2019-01-11 11:28:26",259
"2019-01-11 11:29:27",258,9
"2019-01-11 11:30:27",258,9
"2019-01-11 11:31:27",258,8
"2019-01-11 11:32:27",258,8
"2019-01-11 11:33:27",258,7
"2019-01-11 11:34:27",258,7
"2019-01-11 11:35:27",258,6
"2019-01-11 11:36:27",258,6
"2019-01-11 11:37:27",258,5
"2019-01-11 11:38:27",258,5
"2019-01-11 11:39:27",258,5
"2019-01-11 11:40:27",258,4
"2019-01-11 11:41:27",258,4
"2019-01-11 11:42:27",258,3
"2019-01-11 11:43:27",258,3
"2019-01-11 11:44:27",258,2
"2019-01-11 11:45:27",258,2
"2019-01-11 11:46:27",258,1
"2019-01-11 11:47:27",258,1
"2019-01-11 11:48:27",258
"2019-01-11 11:49:27",258
"2019-01-11 11:50:27",258
"2019-01-11 11:51:27",258
"2019-01-11 11:52:27",257,9
"2019-01-11 11:53:27",257,9
"2019-01-11 11:54:27",257,8
"2019-01-11 11:55:27",257,8
"2019-01-11 11:56:27",257,7
"2019-01-11 11:57:27",257,7
"2019-01-11 11:58:27",257,6
"2019-01-11 11:59:27",257,6
"2019-01-11 12:00:27",257,5
"2019-01-11 12:01:27",257,5
"2019-01-11 12:02:27",257,5
"2019-01-11 12:03:27",257,5
"2019-01-11 12:04:27",257,4
"2019-01-11 12:05:27",257,4
"2019-01-11 12:06:27",257,3
"2019-01-11 12:07:27",257,3
"2019-01-11 12:08:27",257,2
"2019-01-11 12:09:27",257,2
"2019-01-11 12:10:27",257,1
"2019-01-11 12:11:27",257,1
"2019-01-11 12:12:27",257
"2019-01-11 12:13:27",257
"2019-01-11 12:14:27",257
"2019-01-11 12:15:27",256,9
"2019-01-11 12:16:27",256,9
"2019-01-11 12:17:27",256,9
"2019-01-11 12:18:27",256,9
"2019-01-11 12:19:27",256,8
"2019-01-11 12:20:27",256,8
"2019-01-11 12:21:27",256,7
"2019-01-11 12:22:27",256,7
"2019-01-11 12:23:27",256,6
"2019-01-11 12:24:27",256,5
"2019-01-11 12:25:27",256,5
"2019-01-11 12:26:27",256,5
"2019-01-11 12:27:27",256,4
"2019-01-11 12:28:27",256,4
"2019-01-11 12:29:27",256,4
"2019-01-11 12:30:27",256,4
"2019-01-11 12:31:27",256,3
"2019-01-11 12:32:27",256,3
"2019-01-11 12:33:27",256,2
"2019-01-11 12:34:27",256,1
"2019-01-11 12:35:27",256,1
"2019-01-11 12:36:27",256
"2019-01-11 12:37:27",256
"2019-01-11 12:38:27",255,9
"2019-01-11 12:39:27",255,9
"2019-01-11 12:40:27",255,8
"2019-01-11 12:41:27",255,8
"2019-01-11 12:42:27",255,7
"2019-01-11 12:43:27",255,7
"2019-01-11 12:44:27",255,6
"2019-01-11 12:45:27",255,5
"2019-01-11 12:46:27",254,7
"2019-01-11 12:47:27",255,5
"2019-01-11 12:48:27",254,4
"2019-01-11 12:49:27",255
"2019-01-11 12:50:27",254,1
"2019-01-11 12:51:27",254,8
"2019-01-11 12:52:27",253,1
