"TSID";"STARTDATE";"ENDDATE";"STARTLEVEL";"ENDLEVEL"
1;"2020-05-26 14:38:15";"2020-05-26 16:35:15";58.1;47.4
1;"2020-05-27 08:07:35";"2020-05-27 11:50:19";46.9;36.2
1;"2020-05-27 12:12:47";"2020-05-27 14:07:28";36.2;30.7
1;"2020-05-28 09:18:00";"2020-05-28 09:22:58";22.2;59.4
1;"2020-05-28 10:21:24";"2020-05-28 12:34:53";58.3;47.5
1;"2020-06-01 10:28:53";"2020-06-01 12:11:05";31.1;24.4
1;"2020-06-01 16:36:39";"2020-06-01 16:40:45";19.2;58.4
1;"2020-06-04 17:05:55";"2020-06-04 17:12:07";30.5;57.6
1;"2020-06-05 14:11:40";"2020-06-05 15:01:40";49;43.7
1;"2020-06-09 09:37:15";"2020-06-09 10:20:15";32.3;26.3
1;"2020-06-09 16:25:26";"2020-06-09 16:35:30";21.7;57.9
1;"2020-06-10 09:36:14";"2020-06-10 10:20:14";54.2;47.9
1;"2020-06-10 15:45:46";"2020-06-10 17:13:57";47.9;41.2
1;"2020-06-15 11:02:16";"2020-06-15 11:07:33";30.6;57.9
1;"2020-06-16 16:21:42";"2020-06-16 16:24:48";36.1;59.2
1;"2020-06-17 07:54:04";"2020-06-17 10:38:37";55.4;42.4
1;"2020-06-17 14:05:21";"2020-06-17 16:41:06";40.8;31
1;"2020-06-18 07:46:39";"2020-06-18 09:27:47";29.1;19.9
1;"2020-06-18 10:17:48";"2020-06-18 11:25:48";19.6;13.9
1;"2020-06-18 11:25:48";"2020-06-18 11:28:20";13.9;58.2
1;"2020-06-18 11:28:20";"2020-06-18 13:28:25";58.2;50.9
1;"2020-06-18 15:17:03";"2020-06-18 18:31:30";45.9;33.6
1;"2020-06-19 10:46:43";"2020-06-19 14:26:29";28.2;13.7
1;"2020-06-19 14:40:27";"2020-06-19 14:46:16";13.1;58.9
1;"2020-06-25 12:20:55";"2020-06-25 15:33:08";57.5;31.8
1;"2020-06-25 16:03:18";"2020-06-25 18:22:09";31.8;11
1;"2020-06-25 18:22:09";"2020-06-25 18:46:18";11;58.7
1;"2020-06-25 18:46:18";"2020-06-25 20:28:21";58.7;49.5
1;"2020-06-26 17:13:03";"2020-06-26 18:57:03";49.3;39.2
1;"2020-06-26 18:57:03";"2020-06-26 19:04:00";39.2;59.7
1;"2020-06-26 19:04:00";"2020-06-26 21:20:41";59.7;32.2
1;"2020-06-26 22:00:39";"2020-06-27 00:11:16";32.2;7.3
1;"2020-06-27 00:11:16";"2020-06-27 00:22:37";7.3;57
