"DTIME";"SPEED";"HEIGHT"
"2020-01-09 10:52:36";51;13
"2020-01-09 10:52:46";36;15.2
"2020-01-09 10:52:53";41;13.8
"2020-01-09 10:53:17";34;7.9
"2020-01-09 10:53:21";26;9
"2020-01-09 10:53:36";0;8.1
"2020-01-09 10:54:36";0;6.8
"2020-01-09 10:55:02";17;6.6
"2020-01-09 10:55:10";35;9.8
"2020-01-09 10:55:13";33;9.5
"2020-01-09 10:55:35";6;12.3
"2020-01-09 10:55:36";11;11.6
"2020-01-09 10:55:41";21;9.3
"2020-01-09 10:55:49";9;9.4
"2020-01-09 10:56:08";14;8.3
"2020-01-09 10:56:36";17;6.1
"2020-01-09 10:57:36";0;9.1
"2020-01-09 10:58:36";0;9.1
"2020-01-09 10:59:36";0;9.1
"2020-01-09 11:00:36";0;9.1
"2020-01-09 11:01:36";0;9.1
"2020-01-09 11:02:36";0;9.1
"2020-01-09 11:03:36";0;9.1
"2020-01-09 11:04:36";0;9.1
"2020-01-09 11:05:36";0;9.1
"2020-01-09 11:06:36";0;9.1
"2020-01-09 11:07:36";0;9.1
"2020-01-09 11:08:36";0;9.1
"2020-01-09 11:09:36";0;9.1
"2020-01-09 11:10:36";0;9.1
"2020-01-09 11:11:36";0;9.1
"2020-01-09 11:12:36";0;9.1
"2020-01-09 11:13:36";0;9.1
"2020-01-09 11:14:36";0;9.1
"2020-01-09 11:15:36";0;9.1
"2020-01-09 11:16:36";0;9.1
"2020-01-09 11:17:36";0;9.1
"2020-01-09 11:18:36";0;9.1
"2020-01-09 11:19:36";0;9.1
"2020-01-09 11:20:36";0;9.1
"2020-01-09 11:21:36";0;9.1
"2020-01-09 11:22:36";0;9.1
"2020-01-09 11:23:36";0;9.1
"2020-01-09 11:24:36";0;9.1
"2020-01-09 11:25:36";0;9.1
"2020-01-09 11:26:36";0;9.1
"2020-01-09 11:27:36";0;9.1
"2020-01-09 11:28:36";0;9.1
"2020-01-09 11:29:36";0;9.1
"2020-01-09 11:30:36";0;9.1
"2020-01-09 11:31:36";0;9.1
"2020-01-09 11:32:36";0;9.1
"2020-01-09 11:33:36";0;9.1
"2020-01-09 11:34:36";0;9.1
"2020-01-09 11:35:36";0;9.1
"2020-01-09 11:36:36";0;9.1
"2020-01-09 11:37:36";0;9.1
"2020-01-09 11:38:36";0;9.1
"2020-01-09 11:39:36";0;9.1
"2020-01-09 11:40:36";0;9.1
"2020-01-09 11:41:36";0;9.1
"2020-01-09 11:42:36";0;9.1
"2020-01-09 11:43:36";0;9.1
"2020-01-09 11:44:36";0;9.1
"2020-01-09 11:45:36";0;9.1
"2020-01-09 11:46:36";0;9.1
"2020-01-09 11:47:36";0;9.1
"2020-01-09 11:48:36";0;9.1
"2020-01-09 11:49:36";0;9.1
"2020-01-09 11:50:36";0;9.1
"2020-01-09 11:51:36";0;9.1
"2020-01-09 11:52:36";0;9.1
"2020-01-09 11:53:36";0;9.1
"2020-01-09 11:54:36";0;9.1
"2020-01-09 11:55:36";0;9.1
"2020-01-09 11:56:36";0;9.1
"2020-01-09 11:57:36";0;9.1
"2020-01-09 11:58:36";0;9.1
"2020-01-09 11:59:36";0;9.1
"2020-01-09 12:00:36";0;9.1
"2020-01-09 12:01:36";0;9.1
"2020-01-09 12:02:36";0;9.1
"2020-01-09 12:03:36";0;9.1
"2020-01-09 12:04:36";0;9.1
"2020-01-09 12:05:36";0;9.1
"2020-01-09 12:06:36";0;9.1
"2020-01-09 12:07:36";0;9.1
"2020-01-09 12:08:36";0;9.1
"2020-01-09 12:09:36";0;9.1
"2020-01-09 12:10:36";0;9.1
"2020-01-09 12:11:36";0;9.1
"2020-01-09 12:12:36";0;9.1
"2020-01-09 12:13:36";0;9.1
"2020-01-09 12:14:36";0;9.1
"2020-01-09 12:15:36";0;9.1
"2020-01-09 12:16:36";0;9.1
"2020-01-09 12:17:36";0;9.1
"2020-01-09 12:18:36";0;9.1
"2020-01-09 12:19:36";0;9.1
"2020-01-09 12:20:36";0;9.1
"2020-01-09 12:21:36";0;9.1
"2020-01-09 12:22:36";0;9.1
"2020-01-09 12:23:36";0;9.1
"2020-01-09 12:24:36";0;9.1
"2020-01-09 12:25:36";0;9.1
"2020-01-09 12:26:36";0;9.1
"2020-01-09 12:27:36";0;9.1
"2020-01-09 12:28:36";0;9.1
"2020-01-09 12:29:36";0;9.1
"2020-01-09 12:30:36";0;9.1
"2020-01-09 12:31:36";0;9.1
"2020-01-09 12:32:36";0;9.1
"2020-01-09 12:33:36";0;9.1
"2020-01-09 12:34:36";0;9.1
"2020-01-09 12:35:36";0;9.1
"2020-01-09 12:36:36";0;9.1
"2020-01-09 12:37:36";0;9.1
"2020-01-09 12:38:36";0;9.1
"2020-01-09 12:39:36";0;9.1
"2020-01-09 12:40:36";0;9.1
"2020-01-09 12:41:36";0;9.1
"2020-01-09 12:42:36";0;9.1
"2020-01-09 12:43:36";0;9.1
"2020-01-09 12:44:36";0;9.1
"2020-01-09 12:45:36";0;9.1
"2020-01-09 12:46:36";0;9.1
"2020-01-09 12:47:36";0;9.1
"2020-01-09 12:48:36";0;9.1
"2020-01-09 12:49:36";0;9.1
"2020-01-09 12:50:36";0;9.1
"2020-01-09 12:51:36";0;9.1
"2020-01-09 12:52:36";0;9.1
"2020-01-09 12:53:36";0;9.1
"2020-01-09 12:54:36";0;9.1
"2020-01-09 12:55:36";0;9.1
"2020-01-09 12:56:36";0;9.1
"2020-01-09 12:57:36";0;9.1
"2020-01-09 12:58:36";0;9.1
"2020-01-09 12:59:36";0;9.1
"2020-01-09 13:00:36";0;9.1
"2020-01-09 13:01:36";0;9.1
"2020-01-09 13:02:36";0;9.1
"2020-01-09 13:03:36";0;9.1
"2020-01-09 13:04:36";0;9.1
"2020-01-09 13:05:36";0;9.1
"2020-01-09 13:06:36";0;9.1
"2020-01-09 13:07:36";0;9.1
"2020-01-09 13:08:36";0;9.1
"2020-01-09 13:09:36";0;9.1
"2020-01-09 13:10:36";0;9.1
"2020-01-09 13:11:36";0;9.1
"2020-01-09 13:12:36";0;9.1
"2020-01-09 15:32:39";0;9.1
"2020-01-09 15:41:38";0;9.1
"2020-01-09 15:42:33";0;9.1
"2020-01-09 15:43:33";0;9.1
"2020-01-09 15:44:33";0;9.1
"2020-01-09 15:45:33";0;9.1
"2020-01-09 15:46:33";0;9.1
"2020-01-09 15:47:33";0;9.1
"2020-01-09 15:47:41";48;39.5
"2020-01-09 15:47:55";27;37.4
"2020-01-09 15:47:57";20;35.9
"2020-01-09 15:47:59";22;36.9
"2020-01-09 15:48:02";32;38.5
"2020-01-09 15:48:08";53;38.8
"2020-01-09 15:48:15";59;25.8
"2020-01-09 15:48:23";53;26.2
"2020-01-09 15:48:28";61;26.2
"2020-01-09 15:48:33";61;23.5
"2020-01-09 15:48:42";62;19.6
"2020-01-09 15:48:53";46;16.2
"2020-01-09 15:48:59";17;13.6
"2020-01-09 15:49:27";35;2.9
"2020-01-09 15:49:32";36;1.1
"2020-01-09 15:49:33";36;0.9
"2020-01-09 15:49:42";8;-1.4
"2020-01-09 15:49:46";11;-2.1
"2020-01-09 15:49:53";21;-1.9
"2020-01-09 15:49:58";42;0.7
"2020-01-09 15:50:12";69;6.2
"2020-01-09 15:50:16";67;4.3
"2020-01-09 15:50:20";68;1.1
"2020-01-09 15:50:33";61;-7.3
"2020-01-09 15:50:37";40;-10.2
"2020-01-09 15:50:39";36;-10.7
"2020-01-09 15:50:41";36;-10.3
"2020-01-09 15:50:43";40;-8.4
"2020-01-09 15:50:46";47;-5.8
"2020-01-09 15:51:13";74;10.9
"2020-01-09 15:51:17";75;10.4
"2020-01-09 15:51:27";77;14
"2020-01-09 15:51:33";73;16.2
"2020-01-09 15:51:41";81;17.6
"2020-01-09 15:51:53";90;17.5
"2020-01-09 15:51:58";91;17.4
"2020-01-09 15:52:05";92;15.6
"2020-01-09 15:52:10";92;15.5
"2020-01-09 15:52:21";89;13.1
"2020-01-09 15:52:33";61;10.8
"2020-01-09 15:52:37";54;11.2
"2020-01-09 15:52:40";59;11.7
"2020-01-09 15:52:43";57;12.7
"2020-01-09 15:52:46";54;13.6
"2020-01-09 15:52:49";45;13.8
"2020-01-09 15:52:51";43;13.9
"2020-01-09 15:52:53";40;13.8
"2020-01-09 15:52:55";40;13.4
"2020-01-09 15:52:57";41;12.8
"2020-01-09 15:52:59";39;12.1
"2020-01-09 15:53:01";39;11.3
"2020-01-09 15:53:03";42;10.6
"2020-01-09 15:53:05";44;9.4
"2020-01-09 15:53:07";47;8.4
"2020-01-09 15:53:09";49;8
"2020-01-09 15:53:11";50;8.4
"2020-01-09 15:53:13";54;8.5
"2020-01-09 15:53:17";60;8.4
"2020-01-09 15:53:21";69;9.2
"2020-01-09 15:53:25";79;9
"2020-01-09 15:53:29";78;9.1
"2020-01-09 15:53:33";83;9.3
"2020-01-09 15:53:37";88;10.1
"2020-01-09 15:53:41";89;9.6
"2020-01-09 15:53:45";89;9.8
"2020-01-09 15:53:55";89;11.5
"2020-01-09 15:53:59";91;11.4
"2020-01-09 15:54:05";93;10.7
"2020-01-09 15:54:10";94;10.8
"2020-01-09 15:54:16";94;12.2
"2020-01-09 15:54:33";91;17.6
"2020-01-09 15:55:13";89;16.8
"2020-01-09 15:55:33";94;19.5
"2020-01-09 15:55:37";92;21.9
"2020-01-09 15:55:41";91;23.7
"2020-01-09 15:55:45";90;24.3
"2020-01-09 15:55:49";90;26
"2020-01-09 15:55:53";89;28.6
"2020-01-09 15:55:57";91;30
"2020-01-09 15:56:01";87;30.5
"2020-01-09 15:56:05";86;29.9
"2020-01-09 15:56:10";88;28
"2020-01-09 15:56:14";88;26.5
"2020-01-09 15:56:17";87;24.2
"2020-01-09 15:56:21";93;21.3
"2020-01-09 15:56:26";93;18.2
"2020-01-09 15:56:30";92;16.3
"2020-01-09 15:56:33";94;15.2
"2020-01-09 15:56:38";94;13.3
"2020-01-09 15:56:43";93;13.1
"2020-01-09 15:56:47";92;12.7
"2020-01-09 15:56:51";93;12.8
"2020-01-09 15:56:55";93;12.7
"2020-01-09 15:56:59";93;13
"2020-01-09 15:57:03";94;13.3
"2020-01-09 15:57:07";95;13.9
"2020-01-09 15:57:10";95;13.6
"2020-01-09 15:57:14";93;13.5
"2020-01-09 15:57:24";94;16.3
"2020-01-09 15:57:28";94;16.9
"2020-01-09 15:57:32";94;17.5
"2020-01-09 15:57:33";94;17.6
"2020-01-09 15:57:38";96;18.8
"2020-01-09 15:57:46";96;21
"2020-01-09 15:58:27";86;29.9
"2020-01-09 15:58:33";91;29.6
"2020-01-09 15:58:42";93;26.7
"2020-01-09 15:58:48";94;24.3
"2020-01-09 15:58:54";95;20.4
"2020-01-09 15:59:01";95;15.8
"2020-01-09 15:59:09";89;12.2
"2020-01-09 15:59:33";86;15.3
"2020-01-09 16:00:01";89;16.7
"2020-01-09 16:00:04";90;17
"2020-01-09 16:00:08";89;18.6
"2020-01-09 16:00:11";89;20
"2020-01-09 16:00:15";89;21.6
"2020-01-09 16:00:19";90;23.3
"2020-01-09 16:00:29";89;27.2
"2020-01-09 16:00:33";90;27.5
"2020-01-09 16:01:09";92;14.5
"2020-01-09 16:01:15";92;15.6
"2020-01-09 16:01:21";92;17.1
"2020-01-09 16:01:28";92;17.8
"2020-01-09 16:01:33";92;17.3
"2020-01-09 16:01:39";89;16.7
"2020-01-09 16:01:49";89;17.7
"2020-01-09 16:01:52";89;19.2
"2020-01-09 16:01:56";89;20.4
"2020-01-09 16:01:59";88;20.7
"2020-01-09 16:02:02";88;21
"2020-01-09 16:02:05";88;20.8
"2020-01-09 16:02:08";88;21.3
"2020-01-09 16:02:11";89;21.2
"2020-01-09 16:02:17";90;19.7
"2020-01-09 16:02:33";96;17.1
"2020-01-09 16:02:43";96;20
"2020-01-09 16:02:46";97;21
"2020-01-09 16:02:49";98;23.1
"2020-01-09 16:02:52";98;24.6
"2020-01-09 16:02:57";97;27
"2020-01-09 16:03:33";97;28.6
"2020-01-09 16:03:36";96;25.6
"2020-01-09 16:03:39";96;23.1
"2020-01-09 16:03:42";96;20.7
"2020-01-09 16:03:45";95;17.4
"2020-01-09 16:03:48";97;14.9
"2020-01-09 16:03:51";96;13
"2020-01-09 16:03:55";95;10.4
"2020-01-09 16:04:05";94;8
"2020-01-09 16:04:17";93;9.9
"2020-01-09 16:04:33";93;12.6
"2020-01-09 16:04:45";92;12.4
"2020-01-09 16:04:49";91;11.5
"2020-01-09 16:04:53";89;11.1
"2020-01-09 16:04:57";90;10.1
"2020-01-09 16:05:01";91;9.6
"2020-01-09 16:05:06";91;9
"2020-01-09 16:05:10";92;9.6
"2020-01-09 16:05:14";93;10.5
"2020-01-09 16:05:18";95;11.1
"2020-01-09 16:05:22";96;11
"2020-01-09 16:05:25";97;11.2
"2020-01-09 16:05:29";96;11.1
"2020-01-09 16:05:33";95;10.2
"2020-01-09 16:06:11";97;8.5
"2020-01-09 16:06:20";98;8.6
"2020-01-09 16:06:25";100;10.1
"2020-01-09 16:06:31";100;12.7
"2020-01-09 16:06:33";98;13.4
"2020-01-09 16:06:40";97;15.7
"2020-01-09 16:06:46";96;18.5
"2020-01-09 16:06:51";97;18.6
"2020-01-09 16:06:58";97;17.4
"2020-01-09 16:07:04";97;14.5
"2020-01-09 16:07:10";98;11.2
"2020-01-09 16:07:17";90;8.9
"2020-01-09 16:07:24";86;9.4
"2020-01-09 16:07:31";83;9.2
"2020-01-09 16:07:33";83;8.9
"2020-01-09 16:07:39";90;9.2
"2020-01-09 16:08:04";93;11.2
"2020-01-09 16:08:21";96;11
"2020-01-09 16:08:31";96;10.2
"2020-01-09 16:08:33";97;10.1
"2020-01-09 16:08:38";97;9.2
"2020-01-09 16:08:43";92;8.8
"2020-01-09 16:08:49";92;8
"2020-01-09 16:08:55";96;8.2
"2020-01-09 16:09:00";98;7.6
"2020-01-09 16:09:05";98;7.7
"2020-01-09 16:09:09";97;8
"2020-01-09 16:09:15";98;10.2
"2020-01-09 16:09:20";101;11.7
"2020-01-09 16:09:26";99;15.1
"2020-01-09 16:09:31";98;16.6
"2020-01-09 16:09:33";98;17
"2020-01-09 16:09:40";101;17.8
"2020-01-09 16:09:48";97;16.5
"2020-01-09 16:09:53";100;14.6
"2020-01-09 16:09:59";102;14.5
"2020-01-09 16:10:24";96;18.2
"2020-01-09 16:10:30";92;16.6
"2020-01-09 16:10:33";93;17
"2020-01-09 16:10:40";93;17.8
"2020-01-09 16:10:46";94;17.8
"2020-01-09 16:10:51";95;15.7
"2020-01-09 16:10:56";96;13.9
"2020-01-09 16:11:05";93;12.5
"2020-01-09 16:11:33";93;15
"2020-01-09 16:11:37";93;14.3
"2020-01-09 16:11:41";93;15
"2020-01-09 16:11:47";94;16.3
"2020-01-09 16:11:51";95;17
"2020-01-09 16:11:55";95;18.4
"2020-01-09 16:12:00";95;20.1
"2020-01-09 16:12:04";97;20.1
"2020-01-09 16:12:09";96;19.2
"2020-01-09 16:12:13";96;17.9
"2020-01-09 16:12:17";96;16.2
"2020-01-09 16:12:21";96;15.3
"2020-01-09 16:12:25";95;14
"2020-01-09 16:12:29";95;12.6
"2020-01-09 16:12:33";95;12.1
"2020-01-09 16:12:37";94;11.3
"2020-01-09 16:12:41";93;11.2
"2020-01-09 16:12:45";92;11.5
"2020-01-09 16:12:49";92;11.8
"2020-01-09 16:12:54";91;11.3
"2020-01-09 16:13:05";93;14.5
"2020-01-09 16:13:33";89;25.4
"2020-01-09 16:13:40";91;25.7
"2020-01-09 16:13:45";93;25.3
"2020-01-09 16:13:50";93;25.9
"2020-01-09 16:13:55";90;25.9
"2020-01-09 16:14:00";86;24.4
"2020-01-09 16:14:06";82;23
"2020-01-09 16:14:26";83;14.9
"2020-01-09 16:14:33";82;13.3
"2020-01-09 16:14:38";80;13.7
"2020-01-09 16:14:43";73;13.1
"2020-01-09 16:14:48";70;12.6
"2020-01-09 16:14:53";72;11.6
"2020-01-09 16:15:01";70;10.6
"2020-01-09 16:15:09";67;9.2
"2020-01-09 16:15:21";51;10.3
"2020-01-09 16:15:24";54;10.7
"2020-01-09 16:15:26";54;11.4
"2020-01-09 16:15:28";57;11.7
"2020-01-09 16:15:30";58;11.9
"2020-01-09 16:15:33";58;12.7
"2020-01-09 16:15:36";55;13.4
"2020-01-09 16:15:38";56;14.2
"2020-01-09 16:15:40";60;14.4
"2020-01-09 16:15:42";62;14.7
"2020-01-09 16:15:44";62;15.2
"2020-01-09 16:15:46";60;16.4
"2020-01-09 16:15:48";60;17.9
"2020-01-09 16:15:50";62;18.7
"2020-01-09 16:15:52";64;19.4
"2020-01-09 16:15:54";67;20
"2020-01-09 16:16:06";77;18.1
"2020-01-09 16:16:11";82;14.8
"2020-01-09 16:16:14";82;13.4
"2020-01-09 16:16:17";83;12.1
"2020-01-09 16:16:20";82;11.6
"2020-01-09 16:16:24";82;10.6
"2020-01-09 16:16:28";81;10.8
"2020-01-09 16:16:32";80;11.2
"2020-01-09 16:16:33";80;11.5
"2020-01-09 16:16:50";73;15
"2020-01-09 16:17:22";48;21.3
"2020-01-09 16:17:30";59;21.3
"2020-01-09 16:17:33";55;21.7
"2020-01-09 16:17:45";54;24.1
"2020-01-09 16:17:54";55;26.3
"2020-01-09 16:18:10";68;27.8
"2020-01-09 16:18:27";76;29.5
"2020-01-09 16:18:33";76;29.2
"2020-01-09 16:18:41";72;23.4
"2020-01-09 16:18:50";71;18.6
"2020-01-09 16:18:54";68;18.3
"2020-01-09 16:18:59";66;19.8
"2020-01-09 16:19:02";66;19.9
"2020-01-09 16:19:13";63;21.3
"2020-01-09 16:19:23";66;20.3
"2020-01-09 16:19:31";67;20.5
"2020-01-09 16:19:33";67;20.8
"2020-01-09 16:19:43";66;20.6
"2020-01-09 16:19:57";67;23.2
"2020-01-09 16:20:26";53;23.4
"2020-01-09 16:20:33";47;24.3
"2020-01-09 16:20:58";14;23.4
"2020-01-09 16:21:03";16;23.1
"2020-01-09 16:21:05";16;22.9
"2020-01-09 16:21:08";29;23.1
"2020-01-09 16:21:31";70;27.3
"2020-01-09 16:21:33";70;27.2
"2020-01-09 16:21:44";18;26.2
"2020-01-09 16:22:33";52;18.6
"2020-01-09 16:23:33";37;20.1
"2020-01-09 16:23:56";12;17.9
"2020-01-09 16:23:59";28;17
"2020-01-09 16:24:10";52;13.8
"2020-01-09 16:24:33";44;13.7
"2020-01-09 16:25:33";20;17.2
"2020-01-09 16:25:35";26;16.4
"2020-01-09 16:25:40";28;13.5
"2020-01-09 16:25:45";29;12.3
"2020-01-09 16:25:51";26;12.1
"2020-01-09 16:25:57";31;13.5
"2020-01-09 16:26:14";16;14.4
"2020-01-09 16:26:33";1;14.5
"2020-01-09 16:26:35";0;14.5
"2020-01-09 16:27:33";0;53
"2020-01-09 16:28:33";0;61.3
"2020-01-09 16:28:52";0;61.3
"2020-01-09 16:29:33";0;61.1
"2020-01-09 16:30:14";12;58.5
"2020-01-09 16:30:33";6;43.2
"2020-01-09 16:31:03";4;38.1
"2020-01-09 16:31:08";5;36.9
"2020-01-09 16:31:13";20;35.1
"2020-01-09 16:31:33";0;36.3
"2020-01-09 16:32:10";2;33.3
"2020-01-09 16:32:20";7;34.6
"2020-01-09 16:32:24";14;38.2
"2020-01-09 16:32:28";16;39.5
"2020-01-09 16:32:33";13;41.2
"2020-01-09 16:33:33";4;42.4
"2020-01-09 16:33:37";15;41.3
"2020-01-09 16:33:41";29;40.3
"2020-01-09 16:33:54";44;34.3
"2020-01-09 16:34:08";35;31.4
"2020-01-09 16:34:33";1;26.5
"2020-01-09 16:34:51";13;27
"2020-01-09 16:35:12";14;35.7
"2020-01-09 16:35:15";15;34.1
"2020-01-09 16:35:17";24;33.4
"2020-01-09 16:35:25";40;29.6
"2020-01-09 16:35:33";21;26.7
"2020-01-09 16:35:52";29;27.9
"2020-01-09 16:36:04";36;26.4
"2020-01-09 16:36:33";24;27.4
"2020-01-09 16:37:26";13;34.9
"2020-01-09 16:37:33";37;34.8
"2020-01-09 16:37:44";41;39.2
"2020-01-09 16:38:04";48;38.7
"2020-01-09 16:38:12";64;37.9
"2020-01-09 16:38:20";66;36.6
"2020-01-09 16:38:33";55;32.1
"2020-01-09 16:39:33";11;28.4
"2020-01-09 16:39:47";9;28
"2020-01-09 16:39:56";22;27.4
"2020-01-09 16:39:58";32;27.2
"2020-01-09 16:40:00";35;27.3
"2020-01-09 16:40:04";52;27.1
"2020-01-09 16:40:16";69;26.9
"2020-01-09 16:40:21";62;27.2
"2020-01-09 16:40:33";54;27.8
"2020-01-09 16:40:59";42;27.6
"2020-01-09 16:41:21";48;26.7
"2020-01-09 16:41:33";53;26.4
"2020-01-09 16:41:57";58;25.7
"2020-01-09 16:42:06";14;23
"2020-01-09 16:42:16";34;22.3
"2020-01-09 16:42:23";59;21.6
"2020-01-09 16:42:28";69;21.7
"2020-01-09 16:42:33";73;22.3
"2020-01-09 16:42:44";79;27.4
"2020-01-09 16:42:49";80;28
"2020-01-09 16:42:55";80;28
"2020-01-09 16:43:10";71;28
"2020-01-09 16:43:16";74;26.3
"2020-01-09 16:43:25";68;20.7
"2020-01-09 16:43:33";66;18
"2020-01-09 16:43:39";64;17.3
"2020-01-09 16:43:42";62;16.9
"2020-01-09 16:43:44";62;17.4
"2020-01-09 16:43:47";64;18
"2020-01-09 16:43:53";62;16.9
"2020-01-09 16:43:55";63;16.8
"2020-01-09 16:43:58";63;16.8
"2020-01-09 16:44:03";62;16.7
"2020-01-09 16:44:05";61;16.8
"2020-01-09 16:44:07";61;16.8
"2020-01-09 16:44:09";63;16.1
"2020-01-09 16:44:11";64;15.4
"2020-01-09 16:44:13";67;14.7
"2020-01-09 16:44:15";69;14.5
"2020-01-09 16:44:17";69;14.5
"2020-01-09 16:44:19";71;14.4
"2020-01-09 16:44:23";67;14.4
"2020-01-09 16:44:25";63;14.3
"2020-01-09 16:44:27";61;13.9
"2020-01-09 16:44:29";56;14.1
"2020-01-09 16:44:31";56;14.3
"2020-01-09 16:44:33";57;14.4
"2020-01-09 16:44:43";64;13.6
"2020-01-09 16:44:46";66;13.2
"2020-01-09 16:44:48";58;13.3
"2020-01-09 16:44:50";54;13.2
"2020-01-09 16:44:56";53;12.1
"2020-01-09 16:44:59";52;12.3
"2020-01-09 16:45:10";62;13.8
"2020-01-09 16:45:15";67;13.8
"2020-01-09 16:45:19";70;13.8
"2020-01-09 16:45:29";57;13.9
"2020-01-09 16:45:32";63;12.9
"2020-01-09 16:45:33";64;12.5
"2020-01-09 16:45:35";64;11.9
"2020-01-09 16:45:38";64;10.8
"2020-01-09 16:45:40";66;9.6
"2020-01-09 16:45:42";70;8.8
"2020-01-09 16:45:44";74;9.6
"2020-01-09 16:45:47";80;8.5
"2020-01-09 16:45:51";79;7.4
"2020-01-09 16:46:05";85;10.9
"2020-01-09 16:46:12";79;10.8
"2020-01-09 16:46:17";78;11.3
"2020-01-09 16:46:22";79;11
"2020-01-09 16:46:26";78;11
"2020-01-09 16:46:30";77;11.3
"2020-01-09 16:46:33";75;11.2
